"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"케이카","381970","KOSPI","한앤코오토서비스홀딩스","오너·특수관계","72.21","0","▼72.21%p","-35,255,670주","주식매매계약 거래 종결에 따른 보고자의 보유주식 전량 처분 - 주식매매계약 ","-2,246억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000434"
"오리엔트바이오","002630","KOSPI","오리엔트","오너·특수관계","39.65","40.2","▲0.55%p","+329,895주","특별관계자의 주식 매수","+24억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000164"
"MDS스피어","009810","KOSPI","트라이콘 1호 투자조합","오너·특수관계","23.48","31.08","▲7.6%p","+2,759,878주","특별관계자의 추가 및 유상증자에 따른 신주 취득","+11억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000295"
"사조오양","006090","KOSPI","사조대림","오너·특수관계","82.85","83.39","▲0.54%p","+50,657주","보고자 및 특별관계자 보유주식수 변동 외","+4억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000306"
"HT로보틱스","396300","KOSDAQ","에이치티아이엔티","오너·특수관계","45.62","45.99","▲0.37%p","+97,158주","신규 질권 설정 및 특별관계자 장내매수로 인한 변동보고","+3억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000469"
"HLB이노베이션","024850","KOSDAQ","HLB","오너·특수관계","36.67","36.73","▲0.06%p","+20,400주","특별관계자 장내매수","+3억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000135"
"휴마시스","205470","KOSDAQ","아티스트","오너·특수관계","20.77","21.12","▲0.35%p","+87,642주","특별관계자 장내매수","+3억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000092"
"다산솔루에타","154040","KOSDAQ","다산인베스트","오너·특수관계","62.75","63.29","▲0.54%p","+117,806주","보고자 및 특별관계자의 장내 매수 및 장내 매도","+2억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000359"
"부국증권","001270","KOSPI","김중건","오너·특수관계","35.14","35.16","▲0.02%p","+1,723주","보고자, 특별관계자의 유가증권시장에서의 주식 매매","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000511"
"애드포러스","397810","KOSDAQ","이은현","오너·특수관계","50.18","50.37","▲0.19%p","+10,000주","특별관계자의 장내매수 및 특별관계자 추가","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000508"
"와이엠티","251370","KOSDAQ","전성욱","오너·특수관계","35.87","35.91","▲0.04%p","+8,283주","[변동] - 특별관계자의 보유 주식 변동","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000027"
"사조대림","003960","KOSPI","사조산업","오너·특수관계","76.92","76.93","▲0.01%p","+1,900주","특별관계자의 수 및 보유주식 변동(1% 이상)","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000338"
"제테마","216080","KOSDAQ","김재영","오너·특수관계","28.94","28.97","▲0.03%p","+10,500주","특수관계자 장내매매, 임원신규선임, 대여상환 최대주주 및 특수관계자 주식담보","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000541"
"뉴온","123840","KOSDAQ","케이피엠테크","오너·특수관계","91.06","91.21","▲0.15%p","+24,516주","특별관계자 장외매수에 따른 변동보고","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000377"
"지에프씨생명과학","388610","KOSDAQ","강희철","오너·특수관계","37.56","37.59","▲0.03%p","+2,004주","최대주주 (강희철) 장내 매수에 따른 보유주식등의 수 변동","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000227"
"지아이이노베이션","358570","KOSDAQ","장명호","오너·특수관계","6.57","6.57","0%p","+800주","[변동사유] 최대주주 장내매매 [변경사유] 최대주주 주식담보대출 계약연장","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000256"
"코리아나","027050","KOSDAQ","유상옥","오너·특수관계","16.08","0","▼16.08%p","-6,432,427주","대표보고자 변경 (보고자 : 유상옥 → 유학수)","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000060"
"코리아나","027050","KOSDAQ","유학수","오너·특수관계","0","16.08","▲16.08%p","+6,432,427주","대표보고자 변경 (보고자 : 유상옥 → 유학수)","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000082"
"코스리거글로벌","043710","KOSDAQ","세심","오너·특수관계","68.58","65.05","▼3.53%p","-727,272주","보고자의 특별관계자 등 변동(임원 등 퇴직)","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000213"
"교촌에프앤비","339770","KOSPI","권원강","오너·특수관계","69.47","69.52","▲0.05%p","+28,434주","특별관계자 RSU 지급 등","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000293"
"넥스턴앤롤코리아","089140","KOSDAQ","상상인저축은행","오너·특수관계","7.27","26.77","▲19.5%p","+4,400,000주","전환사채 신규 인수 및 특별관계자 추가","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000322"
"메카로","241770","KOSDAQ","이재정","오너·특수관계","53.02","53.02","0%p","0주","보고자와 특별관계자 간의 증여에 따른 보고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000303"
"뷰노","338220","KOSDAQ","이예하","오너·특수관계","15.62","15.59","▼0.03%p","-4,200주","임원 변동으로 인한 특별관계자 추가/해소, 주식담보대출 갱신에 따른 변경신고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000368"
"코아스","071950","KOSPI","백운 조합","오너·특수관계","21.32","17.66","▼3.66%p","-101,527주","특수관계인 변동에 따른 변경보고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000343"
"헝셩그룹","900270","KOSDAQ","후이훙위엔","오너·특수관계","54.65","61.02","▲6.37%p","+1,749,353주","특별관계자의 제3자배정 유상증자 참여로 보유주식 증가","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000430"
"다스코","058730","KOSPI","한상원","오너·특수관계","36.1","35.56","▼0.54%p","0주","특별관계자 주식담보계약 변경","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000457"
"메리츠금융지주","138040","KOSPI","조정호","오너·특수관계","58.78","58.79","▲0.01%p","+7,883주","특별관계자 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000488"
