"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"오픈베이스","049480","KOSDAQ","정주영","이사 · 사실상지배주주 · 등기임원","0","19.09","▲19.09%p","+6,000,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000305"
"오픈베이스","049480","KOSDAQ","정진섭","회장 · 등기임원","23.95","4.86","▼19.09%p","-6,000,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000301"
"에스앤더블류","103230","KOSDAQ","정우진","대표이사 · 10%이상주주 · 등기임원","0.01","11.29","▲11.28%p","+811,899주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000002"
"에스앤더블류","103230","KOSDAQ","정재우","상무이사 · 10%이상주주 · 비등기임원","0","11.28","▲11.28%p","+811,899주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000003"
"싸이토젠","217330","KOSDAQ","전병희","사내이사 · 등기임원","5.6","8.84","▲3.24%p","+750,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000223"
"모아라이프플러스","142760","KOSDAQ","윤상호","사내이사 · 등기임원","0.8","0.71","▼0.09%p","-150,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000296"
"신흥","004080","KOSPI","이용익","회장 · 사실상지배주주 · 등기임원","18.16","17.05","▼1.11%p","-102,950주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000157"
"흥국에프엔비","189980","KOSDAQ","박철범","대표이사 · 등기임원","2.02","2.16","▲0.14%p","+55,816주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000202"
"에스제이그룹","306040","KOSDAQ","이주영","대표이사 · 사실상지배주주 · 등기임원","34.85","35.39","▲0.54%p","+50,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000197"
"에이텍","045660","KOSDAQ","신종수","이사 · 등기임원","1.47","2.06","▲0.59%p","+48,619주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000363"
"피에스케이홀딩스","031980","KOSDAQ","박경수","대표이사 · 10%이상주주 · 등기임원","30.05","29.86","▼0.19%p","-40,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000222"
