"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"인제니아테라퓨틱스","950260","KOSDAQ","한상열","주요주주","0","76.8","▲76.8%p","+37,975,106주","코스닥시장 신규상장에 따른 신규보고 장내매매에 따른 변동보고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000087"
"기도산업","282620","KOSDAQ","박장희","주요주주","0","57.94","▲57.94%p","+3,395,965주","코스닥시장 상장에 따른 신규보고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000390"
"파라텍","033540","KOSDAQ","투믹스 밸류업 신기술투자조합","기관·투자자","0","16.78","▲16.78%p","+2,107,481주","보고자의 전환사채 매수에 따른 신규보고","+73억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000438"
"이렘","009730","KOSDAQ","샘앤솔","주요주주","0","12.72","▲12.72%p","+1,173,239주","전환사채인수","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000217"
"삼진제약","005500","KOSPI","최지현","오너·특수관계","0","10.31","▲10.31%p","+1,373,714주","대표보고자 변경에 따른 신규보고 (변경전 : 최승주 / 변경후 : 최지현),","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000402"
"키움제11호스팩","489480","KOSDAQ","하우자산운용","기관·투자자","0","6.64","▲6.64%p","+438,554주","5% 이상 보유에 따른 공시의무 발생","+9억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000372"
"대한해운","005880","KOSPI","MORGANSTANLEY&COINTLPLC","외국계","0","5.08","▲5.08%p","+16,415,412주","5%이상 보유에 따른 신규보고","+20억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000293"
