"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"에코심플렉스","038870","KOSDAQ","농업회사법인토탈아그로","오너·특수관계","0","38.54","▲38.54%p","+5,401,300주","대표보고자 변경으로 인한 신규 보고 (기존보고자 : 송효순 → 변경보고자 :","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000632"
"대신밸런스제17호스팩","471050","KOSDAQ","수성자산운용","기관·투자자","0","7.09","▲7.09%p","-","5% 이상 보유에 따른 공시의무 발생","+7억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000950"
"교보15호스팩","465320","KOSDAQ","박찬혁","주요주주","0","5.32","▲5.32%p","+202,556주","5% 이상 보유에 따른 공시의무 발생","+4억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000019"
"하나31호스팩","469900","KOSDAQ","박찬혁","주요주주","0","5.2","▲5.2%p","+291,735주","5% 이상 보유에 따른 공시의무 발생","+6억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000002"
"한국쉘석유","002960","KOSPI","우승환","주요주주","0","5.04","▲5.04%p","+65,464주","장내매수","+228억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000673"
