"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"한탑","002680","KOSDAQ","류원기","오너·특수관계","42.4","51.56","▲9.16%p","+1,292,671주","특별관계자의 제3자배정 유상증자에 따른 신주취득 및 특별관계자의 주식담보대출","+33억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000289"
"고영","098460","KOSDAQ","J.P.MORGANSECURITIESPLC","오너·특수관계","5.11","4.91","▼0.2%p","-135,954주","특별관계자 변동","+8억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000138"
"에스에이티","060540","KOSDAQ","에프넷","오너·특수관계","42.14","43.18","▲1.04%p","+271,411주","최대주주의 장내 추가 매수","+4억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000087"
"더라미","032860","KOSDAQ","바이오스마트","오너·특수관계","54.17","54.75","▲0.58%p","-17,460,603주","주식 병합에 따른 발행주식 총수 및 보유 주식수 변동 특별관계자의 장내매수","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000364"
"에스제이그룹","306040","KOSDAQ","이주영","오너·특수관계","55.42","56.03","▲0.61%p","+57,100주","최대주주 장내매수에 따른 보유주식 수 및 보유비율 변동","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000185"
"씨앤투스","352700","KOSDAQ","하춘욱","오너·특수관계","49.19","49.33","▲0.14%p","+34,514주","특수관계인 지분 추가 취득","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000076"
"지엔코","065060","KOSDAQ","크레오에스지","오너·특수관계","73.88","73.95","▲0.07%p","+4,063주","특별관계자 주식장내매수 및 주식근질권설정변경계약체결외","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000249"
"수성웹툰","084180","KOSDAQ","투믹스홀딩스","오너·특수관계","43.13","42.94","▼0.19%p","-81,731주","[변동] 특수관계자 주식 취득 및 전환사채 전환권 소멸","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000112"
"씨앤지하이테크","264660","KOSDAQ","홍사문","오너·특수관계","34.36","34.36","0%p","0주","보고자 및 특별관계자(홍중선, 홍지선)의 기존 주식담보계약 연장","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000038"
"케이씨씨","002380","KOSPI","정몽진","오너·특수관계","35.56","35.56","0%p","0주","특별관계자의 기존 주식담보대출 연장 - 특별관계자의 주식대차 수량 변경","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000207"
"금양그린파워","282720","KOSDAQ","이윤철","오너·특수관계","57.7","57.7","0%p","0주","특별관계자의 보유주식등에 관한 담보계약 갱신","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000350"
"고영","098460","KOSDAQ","고영홀딩스","오너·특수관계","20.66","20.93","▲0.27%p","+180,197주","특별관계자 추가","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000412"
