"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"삼성에스디에스","018260","KOSPI","배순민","상무 · 비등기임원","0","0","0%p","+100주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000495"
"파워로직스","047310","KOSDAQ","장동훈","대표이사 · 등기임원","0.21","0.29","▲0.08%p","+30,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000058"
"바이오톡스텍","086040","KOSDAQ","강종구","대표이사 · 사실상지배주주 · 등기임원","14.12","12.84","▼1.28%p","+13,226주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000128"
"이지스밸류플러스리츠","334890","KOSPI","코람코주택도시기금위탁관리부동산투자회사","10%이상주주","10.43","10.46","▲0.03%p","+15,925주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000155"
"한국항공우주","047810","KOSPI","박연수","전무 · 비등기임원","0","0","0%p","+150주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000154"
"유니온머티리얼","047400","KOSPI","유니온","10%이상주주","40.63","40.64","▲0.01%p","+4,929주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000143"
"퓨릿","445180","KOSDAQ","김재영","상무 · 등기임원","0.29","0.2","▼0.09%p","-15,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000161"
"오토앤","353590","KOSDAQ","우양훈","부사장 · 비등기임원","0","0.08","▲0.08%p","+10,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000160"
"에쓰씨엔지니어링","023960","KOSPI","송한규","사내이사 · 등기임원","0.11","0.14","▲0.03%p","+10,600주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000167"
"인바이오","352940","KOSDAQ","이명재","회장 · 사실상지배주주 · 비등기임원","29.82","30.02","▲0.2%p","+21,147주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000186"
"엔비티","236810","KOSDAQ","이지나","팀장 · 비등기임원","0.5","0.72","▲0.22%p","+37,204주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000183"
"삼성SDI","006400","KOSPI","장이현","부사장 · 비등기임원","0","0","0%p","+679주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000215"
"진성티이씨","036890","KOSDAQ","국민연금공단","10%이상주주","10.29","9.99","▼0.3%p","-65,641주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000212"
"S-Oil","010950","KOSPI","국민연금공단","10%이상주주","9.7","9.66","▼0.04%p","-46,647주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000210"
"S-Oil","010950","KOSPI","국민연금공단","10%이상주주","0","9.7","▲9.7%p","+11,315,615주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000209"
"흥국에프엔비","189980","KOSDAQ","박철범","대표이사 · 등기임원","2","2.02","▲0.02%p","+6,741주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000225"
"INVENI","015360","KOSPI","구자은","사실상지배주주","8.96","8.97","▲0.01%p","+2,525주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000274"
"진양폴리우레탄","010640","KOSPI","최재호","대표이사 · 등기임원","0.06","0.09","▲0.03%p","+5,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000338"
"현대건설","000720","KOSPI","이형석","전무 · 등기임원","0","0","0%p","+95주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000343"
"부방","014470","KOSDAQ","박재순","부회장 · 등기임원","0.19","0.2","▲0.01%p","+2,500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000389"
"삼성전자","005930","KOSPI","조미선","상무 · 비등기임원","0","0","0%p","+80주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000434"
"아모레퍼시픽","090430","KOSPI","나정균","경영자 · 비등기임원","0","0","0%p","+574주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000432"
"에스엠벡셀","010580","KOSPI","에스엠하이플러스","10%이상주주","51.04","51.05","▲0.01%p","+4,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000430"
"삼성전자","005930","KOSPI","김경륜","상무 · 비등기임원","0","0","0%p","-173주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000445"
"서부T&D","006730","KOSDAQ","엠와이에이치","사실상지배주주","17.79","17.89","▲0.1%p","-49,202주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000531"
"DB증권","016610","KOSPI","김범진","상무보 · 비등기임원","0","0.01","▲0.01%p","+3,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000550"
"코웨이","021240","KOSPI","넷마블","10%이상주주","26.96","27.17","▲0.21%p","+147,700주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000543"
"제이투케이바이오","420570","KOSDAQ","배준태","이사 · 비등기임원","2.5","2.18","▼0.32%p","-12,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000584"
"서부T&D","006730","KOSDAQ","승만호","대표이사 사장 · 사실상지배주주 · 등기임원","14.77","14.97","▲0.2%p","+29,614주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000581"
