"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"신한지주","055550","KOSPI","CapitalResearchandManagementCompany","외국계","4.99","5.02","▲0.03%p","+23,568,346주","단순투자목적으로 장내에서 발행회사의 주식 매수 - 단순투자목적으로 장외에서 ","+123억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000035"
"에스오에스랩","464080","KOSDAQ","KB자산운용","기관·투자자","5.36","6.34","▲0.98%p","+188,531주","1%이상 변동","+36억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000333"
"KT나스미디어","089600","KOSDAQ","브이아이피자산운용","기관·투자자","4.99","5.87","▲0.88%p","+670,115주","5% 이상 신규취득","+18억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000240"
"코스메카코리아","241710","KOSDAQ","KB자산운용","기관·투자자","5.34","3.16","▼2.18%p","-232,056주","1%이상 변동","+12억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000334"
"한스바이오메드","042520","KOSDAQ","KB자산운용","기관·투자자","5.89","4.3","▼1.59%p","-227,751주","1%이상 변동","+3억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000335"
"교보19호스팩","0098T0","KOSDAQ","더블유자산운용","기관·투자자","8.37","5.5","▼2.87%p","-154,855주","보유비율 1% 이상 변동","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000019"
