"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"포스코인터내셔널","047050","KOSPI","POSCO홀딩스","주요주주","70.72","50.01","▼20.71%p","-36,434,963주","보유주식등의 수 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000183"
"포스코DX","022100","KOSPI","POSCO홀딩스","주요주주","65.38","50","▼15.38%p","-23,385,917주","보유주식등의 수 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000194"
"시지트로닉스","429270","KOSDAQ","심규환","주요주주","25.38","20.37","▼5.01%p","-322,886주","보유주식 매도","-11억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000229"
"HLB","028300","KOSDAQ","BlackRockFundAdvisors","외국계","7.15","3.37","▼3.78%p","-5,033,460주","보유비율 변동","+72억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000092"
"LG디스플레이","034220","KOSPI","BlackRockFundAdvisors","외국계","7.16","3.67","▼3.49%p","-17,425,531주","보유비율 및 특별관계자 변동","+638억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000090"
"모아데이타","288980","KOSDAQ","한상진","주요주주","9.73","6.29","▼3.44%p","-1,250,903주","기한의 이익 상실에 따른 담보권 실행, 반대매매에 따른 장내 매도 및 주식담","-4억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000321"
"넥사다이내믹스","351320","KOSDAQ","세종메디칼","주요주주","5.15","3.03","▼2.12%p","-577,367주","전환사채 매도에 따른 1% 이상 변동","-22억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000330"
"바텍","043150","KOSDAQ","SwedbankRoburFonderAB","주요주주","5.05","3.02","▼2.03%p","-301,600주","장내에서 발행회사 주식 매도","+7억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000270"
"비츠로셀","082920","KOSDAQ","MORGANSTANLEY&COINTLPLC","외국계","5.48","3.56","▼1.92%p","-879,118주","직전보고서 이후 1%이상 변동(하락)에 따른 보고 의무 발생일 기준으로 대량","+119억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000206"
"아이엠티","451220","KOSDAQ","씨스퀘어자산운용","기관·투자자","9.56","8.42","▼1.14%p","-82,524주","전환사채 매수 및 신주인수권부사채권 조기상환에 따른보유비율 변동","-7억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000317"
"케이티앤지","033780","KOSPI","GICPrivateLimited","외국계","5.03","4.02","▼1.01%p","-2,204,347주","보유비율 1% 이상에 대한 변동보고","+1,629억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000176"
"서진시스템","178320","KOSDAQ","전동규","주요주주","20.45","20.43","▼0.02%p","0주","주식담보대출 추가 및 연장, 담보제공 주식 수 변동 등","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000312"
