"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"HLB이노베이션","024850","KOSDAQ","HLB","오너·특수관계","36.62","36.67","▲0.05%p","+17,485주","특별관계자 장내매수 등","+2억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000267"
"플레이위드","023770","KOSDAQ","드림아크코리아","오너·특수관계","37.67","38.11","▲0.44%p","+40,041주","특별관계자의 추가취득","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000529"
"한일홀딩스","003300","KOSPI","허기호","오너·특수관계","69.66","69.63","▼0.03%p","-8,680주","특별관계자 변동, 특별관계자의 주식 장내매매","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000888"
"에스제이그룹","306040","KOSDAQ","이주영","오너·특수관계","54.78","54.88","▲0.1%p","+9,000주","최대주주 장내매수에 따른 보유주식 수 및 보유비율 변동","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000597"
"지에프씨생명과학","388610","KOSDAQ","강희철","오너·특수관계","37.51","37.56","▲0.05%p","+2,290주","최대주주 (강희철) 장내 매수에 따른 보유주식등의 수 변동","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000535"
"와이엠티","251370","KOSDAQ","전성욱","오너·특수관계","35.86","35.87","▲0.01%p","+890주","[변동] - 특별관계자의 장내매수 [변경] - 특별관계자의 주식담보대출 만기","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000923"
"엠엑스로보틱스","007820","KOSDAQ","엠엑스온","오너·특수관계","26.69","37","▲10.31%p","+3,281,473주","제3자배정 유상증자 신주 취득 임원 퇴임으로 인한 특별관계자 구성 변동 특별","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000205"
"디티앤씨","187220","KOSDAQ","박채규","오너·특수관계","42","42.01","▲0.01%p","+1,079주","특별관계자 주식등의 보유현황 변동 (1%이하 변동) 담보비율 유지를 위한 주","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000645"
"노바렉스","194700","KOSDAQ","권석형","오너·특수관계","32.02","32.02","0%p","0주","특별관계자 주식담보대출 계약 연장","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827001049"
"DSC인베스트먼트","241520","KOSDAQ","윤건수","오너·특수관계","24.12","24.12","0%p","0주","특별관계자의 계약내용 변경","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827001032"
"동아쏘시오홀딩스","000640","KOSPI","강정석","오너·특수관계","42.54","42.53","▼0.01%p","-412주","우리사주 예탁, 임원 퇴임, 주식담보대출 연장","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000942"
"에코심플렉스","038870","KOSDAQ","농업회사법인토탈아그로","오너·특수관계","0","38.54","▲38.54%p","+5,401,300주","대표보고자 변경으로 인한 신규 보고 (기존보고자 : 송효순 → 변경보고자 :","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000632"
"E1","017940","KOSPI","구자열","오너·특수관계","45.46","45.46","0%p","0주","특별관계자 보유주식 등에 관한 계약 해지","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000581"
"제테마","216080","KOSDAQ","김재영","오너·특수관계","28.94","28.94","0%p","0주","최대주주 및 특별관계자 주식담보대출 일부상환","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000541"
"아이스크림미디어","461300","KOSDAQ","시공테크","오너·특수관계","61.04","60.99","▼0.05%p","0주","특별관계인의 주식담보 계약 변경","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000272"
"나노씨엠에스","247660","KOSDAQ","김희자","오너·특수관계","31.94","15.45","▼16.49%p","-716,218주","최대주주 변경(예정) 등으로 인한 특별관계자 구성원 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260827000218"
