"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"에코심플렉스","038870","KOSDAQ","송효순","대표이사 · 등기임원","20.05","0","▼20.05%p","-2,145,751주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000656"
"쎄니트","037760","KOSDAQ","최재관","대표이사 · 등기임원","41.24","35.56","▼5.68%p","-2,042,160주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000701"
"자비스","254120","KOSDAQ","김형철","대표이사 · 10%이상주주 · 등기임원","24.58","25.01","▲0.43%p","+130,431주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000754"
"카스","016920","KOSDAQ","전종일","전무이사 · 등기임원","0.16","0.66","▲0.5%p","+128,115주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000786"
"HLB제약","047920","KOSDAQ","박재형","대표이사 · 등기임원","1.88","2","▲0.12%p","+92,652주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000608"
"웰크론한텍","076080","KOSDAQ","이영규","대표이사 · 사실상지배주주 · 등기임원","5.89","6.25","▲0.36%p","+81,452주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000774"
"이엠텍","091120","KOSDAQ","정승규","대표이사 · 10%이상주주 · 등기임원","13.47","13.82","▲0.35%p","+60,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000689"
"파워로직스","047310","KOSDAQ","장동훈","대표이사 · 등기임원","0.21","0.29","▲0.08%p","+30,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000058"
"서부T&D","006730","KOSDAQ","승만호","대표이사 사장 · 사실상지배주주 · 등기임원","14.77","14.97","▲0.2%p","+29,614주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000581"
"금호전기","001210","KOSPI","민수정","전무이사 · 비등기임원","0.68","0.47","▼0.21%p","-26,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000788"
"서울식품공업","004410","KOSPI","서성훈","회장 · 등기임원","11.96","12.02","▲0.06%p","+24,967주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000625"
"인바이오","352940","KOSDAQ","이명재","회장 · 사실상지배주주 · 비등기임원","29.82","30.02","▲0.2%p","+21,147주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000186"
"퓨릿","445180","KOSDAQ","김재영","상무 · 등기임원","0.29","0.2","▼0.09%p","-15,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000161"
"바이오톡스텍","086040","KOSDAQ","강종구","대표이사 · 사실상지배주주 · 등기임원","14.12","12.84","▼1.28%p","+13,226주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000128"
"제이투케이바이오","420570","KOSDAQ","배준태","이사 · 비등기임원","2.5","2.18","▼0.32%p","-12,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000584"
"에쓰씨엔지니어링","023960","KOSPI","송한규","사내이사 · 등기임원","0.11","0.14","▲0.03%p","+10,600주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000167"
"오토앤","353590","KOSDAQ","우양훈","부사장 · 비등기임원","0","0.08","▲0.08%p","+10,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000160"
"세경하이테크","148150","KOSDAQ","이은영","상무 · 비등기임원","0.03","0.05","▲0.02%p","+7,500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000555"
"흥국에프엔비","189980","KOSDAQ","박철범","대표이사 · 등기임원","2","2.02","▲0.02%p","+6,741주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000225"
"진양폴리우레탄","010640","KOSPI","최재호","대표이사 · 등기임원","0.06","0.09","▲0.03%p","+5,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000338"
"DB증권","016610","KOSPI","김성수","상무 · 비등기임원","0.02","0.02","▲0.01%p","+3,058주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000567"
"DB증권","016610","KOSPI","김범진","상무보 · 비등기임원","0","0.01","▲0.01%p","+3,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000550"
"일신석재","007110","KOSPI","강대욱","상무보 · 등기임원","0","0","0%p","+3,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000713"
"부방","014470","KOSDAQ","박재순","부회장 · 등기임원","0.19","0.2","▲0.01%p","+2,500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000389"
"미래에셋벤처투자","100790","KOSDAQ","홍기섭","독립이사 · 등기임원","0","0","0%p","+1,500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000683"
"DB증권","016610","KOSPI","백진욱","상무보 · 비등기임원","0.01","0.01","▲0%p","+1,495주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000556"
"삼성SDI","006400","KOSPI","장이현","부사장 · 비등기임원","0","0","0%p","+679주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826000215"
