"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"현대건설","000720","KOSPI","국민연금공단","10%이상주주","0","10.2","▲10.2%p","+11,467,231주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000239"
"대동금속","020400","KOSDAQ","대동","10%이상주주","52.78","70.16","▲17.38%p","+3,000,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000085"
"DL","000210","KOSPI","국민연금공단","10%이상주주","0","9.36","▲9.36%p","+2,118,656주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000237"
"마니커","027740","KOSPI","이지홀딩스","사실상지배주주","33.99","37.72","▲3.73%p","+1,182,726주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000315"
"나노씨엠에스","247660","KOSDAQ","에스에이치에너지알이백","사실상지배주주","0","16.96","▲16.96%p","+887,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000164"
"오텍","067170","KOSDAQ","강신욱","부사장 · 등기임원","6.31","7.54","▲1.23%p","+338,358주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000075"
"다산디엠씨","208860","KOSDAQ","다산네트웍스","사실상지배주주","63.26","64.19","▲0.93%p","+317,560주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000265"
"팬스타엔터프라이즈","054300","KOSDAQ","김현겸","대표이사 · 등기임원","19","19.32","▲0.32%p","+241,500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000255"
"테라뷰","950250","KOSDAQ","Donald Dominic Arnone","대표이사 · 등기임원","0.66","1.15","▲0.49%p","+179,202주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000132"
"성호전자","043260","KOSDAQ","서룡전자","사실상지배주주","38.19","37.38","▼0.81%p","+117,786주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000310"
"솔브레인홀딩스","036830","KOSDAQ","정문주","공동대표이사 · 등기임원","1.74","2.3","▲0.56%p","+115,794주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000322"
"에스엠벡셀","010580","KOSPI","에스엠하이플러스","10%이상주주","51.05","51.12","▲0.07%p","+81,300주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000141"
"평화산업","090080","KOSPI","김주영","사장 · 10%이상주주 · 등기임원","2.18","2.27","▲0.09%p","+53,677주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000360"
"유안타증권","003470","KOSPI","유안타씨큐리티즈아시아파이낸셜서비시스프라이빗리미티드","10%이상주주","57.46","57.49","▲0.03%p","+52,500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000342"
"이지스밸류플러스리츠","334890","KOSPI","코람코주택도시기금위탁관리부동산투자회사","10%이상주주","10.46","10.53","▲0.07%p","+50,066주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000028"
"파트론","091700","KOSDAQ","김종구","대표이사 · 10%이상주주 · 등기임원","18.58","18.63","▲0.05%p","+23,481주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000216"
"오에스피","368970","KOSDAQ","와이투케이파트너스","10%이상주주","21.85","20.01","▼1.84%p","+20,048주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000051"
"삼양식품","003230","KOSPI","국민연금공단","10%이상주주","11.01","11.2","▲0.19%p","+14,013주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000233"
"툴젠","199800","KOSDAQ","제넥신","10%이상주주","16.64","12.52","▼4.12%p","+9,660주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000014"
"스튜디오삼익","415380","KOSDAQ","최정석","대표이사 · 10%이상주주 · 등기임원","27.06","27.12","▲0.06%p","+7,437주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000159"
