"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"에스앤더블류","103230","KOSDAQ","신일","오너·특수관계","0","50.57","▲50.57%p","+3,641,309주","대표보고자 변경에 따른 신규보고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000028"
"에넥스","011090","KOSPI","에넥스미래성장조합","주요주주","0","28.48","▲28.48%p","+3,377,388주","주식양수도계약 정정","+115억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000215"
"오픈베이스","049480","KOSDAQ","정주영","오너·특수관계","0","27.57","▲27.57%p","+8,665,670주","지분 증여/수증에 따른 최대주주 및 대표보고자 변경으로 인한 신규 연명보고 ","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000294"
"에이프로젠바이오로직스","003060","KOSPI","이창순","주요주주","0","16.95","▲16.95%p","+3,262,642주","전환사채 매수","+60억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000203"
"한국첨단소재","062970","KOSDAQ","나카모토투자조합","기관·투자자","0","14.05","▲14.05%p","+4,358,275주","지분 신규 취득","+105억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000236"
"동방","004140","KOSPI","제이커브디케이기관전용사모투자","기관·투자자","0","10.16","▲10.16%p","+5,422,503주","전환사채 투자에 따른 신규보고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000285"
"싸이토젠","217330","KOSDAQ","캔디엑스홀딩스","오너·특수관계","41.42","44.42","▲3%p","+750,000주","특별관계자 전병희의 26년 6월 23일 주식 증여분 취소에 따른 변동 공시","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000229"
"프럼파스트","035200","KOSDAQ","원재희","오너·특수관계","26.36","27.94","▲1.58%p","+10,482주","친인척(손녀) 송은우 주식 취득","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000093"
"에이텍","045660","KOSDAQ","신승영","주요주주","34.01","35.25","▲1.24%p","+102,627주","보유주식등의 수 및 보유비율 변동","+10억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000267"
"에스오에스랩","464080","KOSDAQ","KB자산운용","기관·투자자","5.36","6.34","▲0.98%p","+188,531주","1%이상 변동","+36억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000333"
"영화금속","012280","KOSPI","삼신정밀","오너·특수관계","27.17","28.07","▲0.9%p","+90,000주","최대주주의 주식 장내매수","+4억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000074"
"KT나스미디어","089600","KOSDAQ","브이아이피자산운용","기관·투자자","4.99","5.87","▲0.88%p","+670,115주","5% 이상 신규취득","+18억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000240"
"에스제이그룹","306040","KOSDAQ","이주영","오너·특수관계","54.88","55.42","▲0.54%p","+50,000주","최대주주 장내매수에 따른 보유주식 수 및 보유비율 변동","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000191"
"드림시큐리티","203650","KOSDAQ","범진규","주요주주","41.56","41.95","▲0.39%p","+403,000주","주식담보대출계약 기간 연장 - 보유주식등의 수 및 보유비율 변동","+8억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000339"
"에스넷","038680","KOSDAQ","박효대","오너·특수관계","26.01","26.2","▲0.19%p","+39,000주","특별관계자 장내매수","+2억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000286"
"인성정보","033230","KOSDAQ","에스넷","오너·특수관계","23.58","23.73","▲0.15%p","+75,000주","최대주주 장내매수에 따른 변동보고","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000255"
"씨앤투스","352700","KOSDAQ","하춘욱","오너·특수관계","49.08","49.19","▲0.11%p","+26,889주","특수관계인 추가 및 주식 취득","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000088"
"아이티아이즈","372800","KOSDAQ","이성남","오너·특수관계","51.11","51.17","▲0.06%p","+4,350주","특별관계자의 장내매수에 따른 변동보고","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000057"
"이녹스첨단소재","272290","KOSDAQ","이녹스","주요주주","33.85","33.89","▲0.04%p","+8,678주","장내매수","+2억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000281"
"신한지주","055550","KOSPI","CapitalResearchandManagementCompany","외국계","4.99","5.02","▲0.03%p","+23,568,346주","단순투자목적으로 장내에서 발행회사의 주식 매수 - 단순투자목적으로 장외에서 ","+123억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000035"
"사조동아원","008040","KOSPI","사조씨푸드","오너·특수관계","64.85","64.88","▲0.03%p","-82,378,190주","특별관계자 보유주식 변동","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260902000262"
