"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"KX하이텍","052900","KOSDAQ","인터레이스자산운용","기관·투자자","0","10.19","▲10.19%p","+8,702,531주","단순투자목적의 매매","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000267"
"그리드위즈","453450","KOSDAQ","SBI인베스트먼트","주요주주","0","8.19","▲8.19%p","+708,415주","전환사채 인수","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000342"
"피엔티엠에스","257370","KOSDAQ","수성자산운용","기관·투자자","0","5.7","▲5.7%p","+756,077주","사모3CB 행사가액 조정에 따른 보유비율 5% 이상 보유","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000414"
"한주에이알티","058450","KOSDAQ","신승욱","주요주주","0","5.07","▲5.07%p","+273,956주","장내매수","+8억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000253"
"한양이엔지","045100","KOSDAQ","FILLIMITED","주요주주","0","5","▲5%p","+875,833주","단순 주식 취득에 의한 신규 보고","+22억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000083"
