"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"M83","476080","KOSDAQ","정성진","오너·특수관계","49.61","35.08","▼14.53%p","-1,134,501주","의결권 공동행사약정 및 의무보유확약 기간 만료 등에 따른 공동보유관계 및 일","-45억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260824000331"
"파인디앤씨","049120","KOSDAQ","홍성천","오너·특수관계","54.03","59.19","▲5.16%p","+551,567주","공개매수에 따른 특별관계자 보유주식수 변동 및 특별관계자 일부 변동","+14억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260824000270"
"이노진","344860","KOSDAQ","이광훈","오너·특수관계","46.97","49.09","▲2.12%p","+600,000주","특별관계인의 제3자배정 유상증자에 따른 신주 취득","+8억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260824000321"
"아스플로","159010","KOSDAQ","강두홍","오너·특수관계","55.79","56.02","▲0.23%p","+31,324주","특수관계자 주식 매수로 인한 보유주식수 변동","+7억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260824000035"
"케이피에프","024880","KOSDAQ","송현홀딩스","오너·특수관계","39.26","39.95","▲0.69%p","+108,956주","특별관계자 변동 및 추가 취득","+5억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260824000097"
"메디앙스","014100","KOSDAQ","김은정","오너·특수관계","38.16","39.41","▲1.25%p","+148,014주","특별관계자 장내매수","+5억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260824000311"
"휴마시스","205470","KOSDAQ","아티스트","오너·특수관계","19.91","20.51","▲0.6%p","+147,890주","특별관계자 장내매수","+4억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260824000194"
"솔루스첨단소재","336370","KOSPI","스카이레이크롱텀스트래티직인베스트먼트","오너·특수관계","53.27","53.31","▲0.04%p","+26,408주","특별관계자 추가, 주식근질권설정계약 체결","+3억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260824000235"
"토마토시스템","393210","KOSDAQ","이상돈","오너·특수관계","27.85","27.98","▲0.13%p","+20,000주","주요계약(담보계약) 체결 - 특별관계자 보유주식수 변동","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260824000047"
"원림","005820","KOSPI","신성엽","오너·특수관계","60.52","60.46","▼0.06%p","-1,458주","주식 증여/수증으로 인한 주식 수 변동 특별관계자 장내매도 및 장내매수 특별","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260824000338"
"인디에프","014990","KOSPI","글로벌세아","오너·특수관계","63.64","62.66","▼0.98%p","-148,000주","특별관계자 장내 매수 및 보고자 장내 매도","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260824000233"
"혜인","003010","KOSPI","원경희","오너·특수관계","22.47","22.47","0%p","0주","특별관계자 주식 증여/수증으로 인한 주식 수 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260824000071"
"국전","307750","KOSDAQ","홍종호","오너·특수관계","52.23","52.23","0%p","0주","대표보고자 홍종호 : 대출금액 일부 상환 ※특별관계자 포함 보유주식수 및 총","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260824000178"
"큐로홀딩스","051780","KOSDAQ","케이파트너스","오너·특수관계","54.08","61.72","▲7.64%p","+1,264,409주","제3자배정 유상증자로 인한 특별관계자 보유주식 변동등 및 주식근질권설정변경계","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260824000185"
"보성파워텍","006910","KOSDAQ","임재황","오너·특수관계","14.56","14.56","0%p","0주","특별관계자의 주식 담보계약 체결","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260824000242"
