"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"툴젠","199800","KOSDAQ","조현순","전무이사 · 비등기임원","0","0","0%p","+300주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000003"
"트리니티항공","091810","KOSPI","공병욱","담당 · 비등기임원","0.02","0.01","▼0.01%p","-49,308주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000032"
"DB증권","016610","KOSPI","김태수","상무 · 비등기임원","0.03","0.04","▲0%p","+1,600주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000030"
"트리니티항공","091810","KOSPI","이현용","담당 · 비등기임원","0.02","0.01","▼0.01%p","-43,186주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000029"
"DB증권","016610","KOSPI","백진욱","상무보 · 비등기임원","0.01","0.01","▲0%p","+600주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000028"
"DB증권","016610","KOSPI","유숭종","상무보 · 비등기임원","0.02","0.02","0%p","+50주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000027"
"DB증권","016610","KOSPI","서석민","상무보 · 비등기임원","0","0","0%p","+32주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000023"
"트리니티항공","091810","KOSPI","박종범","담당 · 비등기임원","0.01","0.01","0%p","-61,003주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000022"
"수성웹툰","084180","KOSDAQ","이원희","전무 · 등기임원","0","0.03","▲0.03%p","+5,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000067"
"수성웹툰","084180","KOSDAQ","홍탁완","대표이사 · 등기임원","0","0.14","▲0.14%p","+25,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000066"
"디앤디파마텍","347850","KOSDAQ","박평아","상무 · 비등기임원","0.02","0.03","▲0.01%p","+6,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000070"
"디앤디파마텍","347850","KOSDAQ","홍성훈","부사장 · 등기임원","0.23","0.25","▲0.02%p","+15,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000072"
"삼보산업","009620","KOSDAQ","최재훈","대표이사 · 등기임원","0.56","0.56","0%p","-78,316주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000085"
"삼보산업","009620","KOSDAQ","이태용","대표이사 · 사실상지배주주 · 등기임원","27.91","27.91","0%p","-3,900,907주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000082"
"에스트래픽","234300","KOSDAQ","이장한","부사장 · 비등기임원","0.2","0.21","▲0.01%p","+3,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000121"
"브이엠","089970","KOSDAQ","이상우","사장 · 등기임원","0.38","0.45","▲0.07%p","+20,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000157"
"윙스풋","335870","KOSDAQ","씨케이앤디리더스","10%이상주주","16.18","14.68","▼1.5%p","-1,966,627주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000148"
"브이엠","089970","KOSDAQ","정구현","담당 · 비등기임원","0.47","0.46","▼0.01%p","0주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000168"
"브이엠","089970","KOSDAQ","장휘곤","담당 · 비등기임원","0.35","0.34","▼0.01%p","+500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000163"
