"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"케이카","381970","KOSPI","한앤코오토서비스홀딩스","오너·특수관계","72.21","0","▼72.21%p","-35,255,670주","주식매매계약 거래 종결에 따른 보고자의 보유주식 전량 처분 - 주식매매계약 ","-2,246억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000434"
"코리아나","027050","KOSDAQ","유상옥","오너·특수관계","16.08","0","▼16.08%p","-6,432,427주","대표보고자 변경 (보고자 : 유상옥 → 유학수)","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000060"
"빛과전자","069540","KOSDAQ","비엔에스조합","주요주주","34.81","29.01","▼5.8%p","-1,120,000주","장내매도 및 주식담보계약 계약 체결","-32억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000520"
"코아스","071950","KOSPI","백운 조합","오너·특수관계","21.32","17.66","▼3.66%p","-101,527주","특수관계인 변동에 따른 변경보고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000343"
"코스리거글로벌","043710","KOSDAQ","세심","오너·특수관계","68.58","65.05","▼3.53%p","-727,272주","보고자의 특별관계자 등 변동(임원 등 퇴직)","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000213"
"바텍","043150","KOSDAQ","Swedbank Robur Fonder AB 위 대리인 법무법인 (유) 광장 변호사 고현빈","주요주주","5.05","3.02","▼2.03%p","-301,600주","장내에서 발행회사 주식 매도","+7억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000279"
"롯데관광개발","032350","KOSPI","엔브이8홀딩스","기관·투자자","5.3","3.3","▼2%p","-1,097,097주","제3자배정방식으로발행된무기명식사모전환사채의취득","-146억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000042"
"이지스","261520","KOSDAQ","에이스톤벤처스","주요주주","5.58","4.97","▼0.61%p","-21,508주","장내매도에 따른 보유비율 5% 미만 감소","-1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000308"
"엠케이전자","033160","KOSDAQ","오션비홀딩스","주요주주","33.43","32.86","▼0.57%p","0주","보고자의 보유주식등에 관한 계약 변경","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000394"
"다스코","058730","KOSPI","한상원","오너·특수관계","36.1","35.56","▼0.54%p","0주","특별관계자 주식담보계약 변경","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000457"
"유니슨","018000","KOSDAQ","비그림파워코리아","주요주주","13.71","13.46","▼0.25%p","+3,638,125주","장내 매수에 따른 변동 보고","+38억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000439"
"라온텍","418420","KOSDAQ","김보은","주요주주","27.69","27.56","▼0.13%p","-40,000주","증여","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000182"
"뷰노","338220","KOSDAQ","이예하","오너·특수관계","15.62","15.59","▼0.03%p","-4,200주","임원 변동으로 인한 특별관계자 추가/해소, 주식담보대출 갱신에 따른 변경신고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000368"
