"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"아이큐어","175250","KOSDAQ","솔루엠코스메틱","주요주주","0","39.34","▲39.34%p","+24,287,115주","신주인수계약에 따른 유상증자 신주 취득","+527억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000098"
"딥커머스","900110","KOSDAQ","DING SHAOYING","주요주주","14.66","38.14","▲23.48%p","+1,503,199주","주식병합 및 주식병합으로 인한 주식매수선택권부여수량 조정 - 제3자배정 유상","+18억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000423"
"넥스턴앤롤코리아","089140","KOSDAQ","바로저축은행","금융기관","0","21.64","▲21.64%p","+4,093,126주","전환사채 인수에 따른 신규 보고의무 발생","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000530"
"넥스턴앤롤코리아","089140","KOSDAQ","상상인저축은행","오너·특수관계","7.27","26.77","▲19.5%p","+4,400,000주","전환사채 신규 인수 및 특별관계자 추가","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000322"
"코리아나","027050","KOSDAQ","유학수","오너·특수관계","0","16.08","▲16.08%p","+6,432,427주","대표보고자 변경 (보고자 : 유상옥 → 유학수)","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000082"
"네오이뮨텍","950220","KOSDAQ","무림-블루웨이브 제2호 신기술투자조합","기관·투자자","7.09","14.93","▲7.84%p","-1,541,160주","전환가액 조정 및 전환주식 매도","-47억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000452"
"MDS스피어","009810","KOSPI","트라이콘 1호 투자조합","오너·특수관계","23.48","31.08","▲7.6%p","+2,759,878주","특별관계자의 추가 및 유상증자에 따른 신주 취득","+11억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000295"
"헝셩그룹","900270","KOSDAQ","후이훙위엔","오너·특수관계","54.65","61.02","▲6.37%p","+1,749,353주","특별관계자의 제3자배정 유상증자 참여로 보유주식 증가","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000430"
"HLB테라퓨틱스","115450","KOSDAQ","HLB","주요주주","16.1","19.92","▲3.82%p","+4,380,719주","제3자배정 유상증자","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000143"
"서울식품공업","004410","KOSPI","정필문","주요주주","9.52","12.2","▲2.68%p","+1,062,843주","보유 주식수 변동","+13억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000087"
