"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"인제니아테라퓨틱스","950260","KOSDAQ","한상열","주요주주","0","76.8","▲76.8%p","+37,975,106주","코스닥시장 신규상장에 따른 신규보고 장내매매에 따른 변동보고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000087"
"기도산업","282620","KOSDAQ","박장희","주요주주","0","57.94","▲57.94%p","+3,395,965주","코스닥시장 상장에 따른 신규보고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000390"
"파라텍","033540","KOSDAQ","투믹스 밸류업 신기술투자조합","기관·투자자","0","16.78","▲16.78%p","+2,107,481주","보고자의 전환사채 매수에 따른 신규보고","+73억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000438"
"이렘","009730","KOSDAQ","샘앤솔","주요주주","0","12.72","▲12.72%p","+1,173,239주","전환사채인수","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000217"
"삼진제약","005500","KOSPI","최지현","오너·특수관계","0","10.31","▲10.31%p","+1,373,714주","대표보고자 변경에 따른 신규보고 (변경전 : 최승주 / 변경후 : 최지현),","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000402"
"키움제11호스팩","489480","KOSDAQ","하우자산운용","기관·투자자","0","6.64","▲6.64%p","+438,554주","5% 이상 보유에 따른 공시의무 발생","+9억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000372"
"코퍼스코리아","322780","KOSDAQ","아티스트스튜디오","주요주주","45.86","51.57","▲5.71%p","+3,810,974주","제3자배정 유상증자 신주인수에 따른 변동 보고 및 계약 이행 완료에 따른 변","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000426"
"대한해운","005880","KOSPI","MORGANSTANLEY&COINTLPLC","외국계","0","5.08","▲5.08%p","+16,415,412주","5%이상 보유에 따른 신규보고","+20억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000293"
"에이텍모빌리티","224110","KOSDAQ","신승영","오너·특수관계","38.53","40.22","▲1.69%p","+85,610주","특별관계자의 보유주식수 변동","+7억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000056"
"평화산업","090080","KOSPI","평화홀딩스","주요주주","62.37","63.75","▲1.38%p","+757,381주","장내매수","+8억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000212"
"백금T&A","046310","KOSDAQ","차파트너스자산운용","기관·투자자","6.19","7.42","▲1.23%p","+202,144주","장내매매에 따른 보유주식 수 변동","+6억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000418"
"사조대림","003960","KOSPI","사조산업","오너·특수관계","75.79","76.92","▲1.13%p","+100,540주","특별관계자 보유주식 변동(1% 이상)","+31억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000432"
"전방","000950","KOSPI","삼영엔지니어링","오너·특수관계","17.4","18.46","▲1.06%p","+17,818주","특별관계자 장내매수 취득","+6억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000448"
"비큐AI","148780","KOSDAQ","임경환","오너·특수관계","35.31","36.16","▲0.85%p","+36,000주","장내매수로 인한 보유 주식수 증가(변동)최대주주 거래계획 이행 중간 보고","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000055"
"비큐AI","148780","KOSDAQ","임경환","오너·특수관계","35.31","36.16","▲0.85%p","+36,000주","장내매수로 인한 보유 주식수 증가(변동) 최대주주 거래계획 이행 중간 보고","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000098"
"한국정밀기계","101680","KOSDAQ","하종식","오너·특수관계","53.36","54.04","▲0.68%p","+57,141주","특별관계자 추가(장내매수) 및 특별관계자의 장내매수","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000263"
"LS","006260","KOSPI","구자열","오너·특수관계","32.58","33.11","▲0.53%p","+2,354주","특별관계자 추가 및 보유주식수 변동 - 보유주식에 관한 계약 변경","+54억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000465"
"우진비앤지","018620","KOSDAQ","강재구","주요주주","30.41","30.91","▲0.5%p","+34,660주","주식매수","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000221"
"서울옥션","063170","KOSDAQ","이호재","오너·특수관계","30.1","30.55","▲0.45%p","+80,000주","특별관계자 보유주식수 변동(1%미만) - 특별관계자 주식 담보대출 변경","+4억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000175"
"대동","000490","KOSPI","김준식","오너·특수관계","34.17","34.58","▲0.41%p","+120,020주","임원 및 특별관계자 장내 매수","+9억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000236"
"에프엔씨엔터","173940","KOSDAQ","한성호","오너·특수관계","55.26","55.61","▲0.35%p","+72,765주","특별관계자 장내매수에 따른 특별관계자 추가 및 보유주식수 변동","+2억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000135"
"탑엔지니어링","065130","KOSDAQ","김원남","오너·특수관계","28.65","28.87","▲0.22%p","+35,000주","특별관계자의 장내매수에 따른 보유주식수의 변동","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000173"
"이엘피","063760","KOSDAQ","이재혁","주요주주","23.73","23.8","▲0.07%p","+6,911주","장내매수","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000086"
"덴티스","261200","KOSDAQ","심기봉","주요주주","28.68","28.71","▲0.03%p","+4,320주","장내매수","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000360"
"탑코미디어","134580","KOSDAQ","엔키홀딩스","주요주주","71.17","71.18","▲0.01%p","+6,359주","장내매수 및 교환청구권 행사로 인한 주식 수 변동","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000491"
"파라다이스","034230","KOSPI","파라다이스글로벌","주요주주","45.15","45.16","▲0.01%p","+5,000주","주식 담보 대출 연장 - 연명보고자 주식 추가 장내매수","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000348"
