"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"글로벌텍스프리","204620","KOSDAQ","MiriCapitalManagementLLC","외국계","5.83","8.43","▲2.6%p","+1,824,000주","일반투자목적으로 장내에서 발행회사 주식 매수","+101억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000146"
"호텔신라","008770","KOSPI","한국투자신탁운용","기관·투자자","6.85","4.39","▼2.46%p","-964,067주","단순투자목적의 5% 보유주식의 신규보고","+84억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000167"
"DH오토리드","290120","KOSDAQ","에이치자산운용","기관·투자자","8.3","0","▼8.3%p","-1,405,058주","보유비율 감소","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000176"
"KX하이텍","052900","KOSDAQ","인터레이스자산운용","기관·투자자","0","10.19","▲10.19%p","+8,702,531주","단순투자목적의 매매","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000267"
"피엔티엠에스","257370","KOSDAQ","수성자산운용","기관·투자자","0","5.7","▲5.7%p","+756,077주","사모3CB 행사가액 조정에 따른 보유비율 5% 이상 보유","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000414"
