"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"SK오션플랜트","100090","KOSPI","디오션자산운용","기관·투자자","0","35.62","▲35.62%p","+22,256,969주","장외 주식매매계약 체결","+4,100억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000546"
"스카이랩스","386380","KOSDAQ","한국산업은행","금융기관","0","7.51","▲7.51%p","+1,409,987주","코스닥 신규 상장에 따른 신규 보고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000156"
"넥사다이내믹스","351320","KOSDAQ","세종메디칼","주요주주","0","5.15","▲5.15%p","+1,514,867주","5% 이상 보유에 따른 공시의무 발생","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000326"
"한솔테크닉스","004710","KOSPI","미래에셋자산운용","기관·투자자","4.75","5.11","▲0.36%p","+191,293주","신규","+14억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000191"
"하이젠알앤엠","160190","KOSDAQ","미래에셋자산운용","기관·투자자","4.87","5.13","▲0.26%p","+81,102주","신규","+16억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000192"
