"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"KX하이텍","052900","KOSDAQ","인터레이스자산운용","기관·투자자","0","10.19","▲10.19%p","+8,702,531주","단순투자목적의 매매","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000267"
"한탑","002680","KOSDAQ","류원기","오너·특수관계","42.4","51.56","▲9.16%p","+1,292,671주","특별관계자의 제3자배정 유상증자에 따른 신주취득 및 특별관계자의 주식담보대출","+33억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000289"
"그리드위즈","453450","KOSDAQ","SBI인베스트먼트","주요주주","0","8.19","▲8.19%p","+708,415주","전환사채 인수","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000342"
"피엔티엠에스","257370","KOSDAQ","수성자산운용","기관·투자자","0","5.7","▲5.7%p","+756,077주","사모3CB 행사가액 조정에 따른 보유비율 5% 이상 보유","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000414"
"한주에이알티","058450","KOSDAQ","신승욱","주요주주","0","5.07","▲5.07%p","+273,956주","장내매수","+8억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000253"
"한양이엔지","045100","KOSDAQ","FILLIMITED","주요주주","0","5","▲5%p","+875,833주","단순 주식 취득에 의한 신규 보고","+22억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000083"
"글로벌텍스프리","204620","KOSDAQ","MiriCapitalManagementLLC","외국계","5.83","8.43","▲2.6%p","+1,824,000주","일반투자목적으로 장내에서 발행회사 주식 매수","+101억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000146"
"유니셈","036200","KOSDAQ","FILLIMITED","주요주주","5.03","6.98","▲1.95%p","+597,665주","단순 주식 취득에 의한 변동 보고","+51억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000092"
"아나패스","123860","KOSDAQ","아이베스트투자","주요주주","14.8","16.06","▲1.26%p","+152,200주","장내매매","+62억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000050"
"에스에이티","060540","KOSDAQ","에프넷","오너·특수관계","42.14","43.18","▲1.04%p","+271,411주","최대주주의 장내 추가 매수","+4억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000087"
"포커스에이아이","331380","KOSDAQ","넥스플랜","주요주주","7.33","8.34","▲1.01%p","+367,454주","장내매수로 인한 1% 이상 변동","+8억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000285"
"HD현대중공업","329180","KOSPI","국민연금공단","주요주주","7.38","8.02","▲0.64%p","+1,862,656주","단순투자목적에서 일반투자목적으로 보유목적 변경","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000302"
"에스제이그룹","306040","KOSDAQ","이주영","오너·특수관계","55.42","56.03","▲0.61%p","+57,100주","최대주주 장내매수에 따른 보유주식 수 및 보유비율 변동","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000185"
"더라미","032860","KOSDAQ","바이오스마트","오너·특수관계","54.17","54.75","▲0.58%p","-17,460,603주","주식 병합에 따른 발행주식 총수 및 보유 주식수 변동 특별관계자의 장내매수","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000364"
"고영","098460","KOSDAQ","고영홀딩스","오너·특수관계","20.66","20.93","▲0.27%p","+180,197주","특별관계자 추가","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000412"
"씨앤투스","352700","KOSDAQ","하춘욱","오너·특수관계","49.19","49.33","▲0.14%p","+34,514주","특수관계인 지분 추가 취득","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000076"
"지엔코","065060","KOSDAQ","크레오에스지","오너·특수관계","73.88","73.95","▲0.07%p","+4,063주","특별관계자 주식장내매수 및 주식근질권설정변경계약체결외","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000249"
