"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"서울보증보험","031210","KOSPI","예금보험공사","사실상지배주주","79.56","78.91","▼0.65%p","-450,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000247"
"삼진제약","005500","KOSPI","최승주","사실상지배주주","3.07","1.21","▼1.86%p","-266,400주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000408"
"탑코미디어","134580","KOSDAQ","엔키홀딩스","사실상지배주주","68.65","68.6","▼0.05%p","-27,724주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000489"
"달바글로벌","483650","KOSPI","명재훈","상무 · 비등기임원","0.24","0.17","▼0.07%p","-9,254주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000467"
"미원상사","002840","KOSPI","미원상사우리사주","10%이상주주","13.46","13.44","▼0.02%p","-902주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000259"
"한국콜마","161890","KOSPI","한상근","부사장 · 등기임원","0","0","0%p","-611주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000306"
"미래에셋벤처투자","100790","KOSDAQ","미래에셋증권","10%이상주주","56","56","0%p","-150주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260825000484"
