"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"포스코인터내셔널","047050","KOSPI","POSCO홀딩스","10%이상주주","70.71","50","▼20.71%p","-36,434,963주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000196"
"시그네틱스","033170","KOSDAQ","테라닉스","사실상지배주주","35.31","35.31","0%p","-24,213,098주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000289"
"포스코DX","022100","KOSPI","POSCO홀딩스","10%이상주주","72.54","50","▼22.54%p","-23,385,917주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000200"
"모아데이타","288980","KOSDAQ","한상진","대표이사 · 사실상지배주주 · 등기임원","8","4.56","▼3.44%p","-1,250,903주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000313"
"APS이노베이션","079810","KOSDAQ","APS","10%이상주주","14.94","12.67","▼2.27%p","+336,924주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000212"
"세화피앤씨","252500","KOSDAQ","정상희","이사 · 비등기임원","0.35","0.35","0%p","-114,842주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000084"
"트리니티항공","091810","KOSPI","유근태","담당 · 비등기임원","0.03","0.03","0%p","-108,056주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000144"
"우진아이엔에스","010400","KOSPI","홍경모","대표이사 · 10%이상주주 · 등기임원","22.38","21.4","▼0.98%p","-75,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000049"
"아틀라스링크","297570","KOSDAQ","신정관","대표이사 · 등기임원","0.23","0.23","0%p","-64,412주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000236"
"세화피앤씨","252500","KOSDAQ","신재훈","이사 · 비등기임원","0.09","0.09","0%p","-30,339주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000082"
"트리니티항공","091810","KOSPI","조재황","담당 · 비등기임원","0","0","0%p","-8,424주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000146"
