"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"푸른저축은행","007330","KOSDAQ","김경구","전무이사 · 비등기임원","0.31","0.21","▼0.1%p","-16,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000007"
"툴젠","199800","KOSDAQ","제넥신","10%이상주주","16.64","12.52","▼4.12%p","+9,660주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000014"
"이지스밸류플러스리츠","334890","KOSPI","코람코주택도시기금위탁관리부동산투자회사","10%이상주주","10.46","10.53","▲0.07%p","+50,066주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000028"
"프레스티지바이오파마","950210","KOSPI","고상석","사실상지배주주","0.04","0.08","▲0.04%p","+4,800주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000026"
"투비소프트","079970","KOSDAQ","주식회사 투비소프트 우리사주조합","10%이상주주","10.89","10.79","▼0.1%p","-12,588주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000029"
"현대차증권","001500","KOSPI","노근창","전문전무 · 비등기임원","0.01","0","▼0.01%p","-6,123주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000040"
"오에스피","368970","KOSDAQ","와이투케이파트너스","10%이상주주","21.85","20.01","▼1.84%p","+20,048주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000051"
"바이오톡스텍","086040","KOSDAQ","강종구","대표이사 · 사실상지배주주 · 등기임원","12.93","12.97","▲0.04%p","+6,380주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000053"
"INVENI","015360","KOSPI","구자은","사실상지배주주","8.97","8.97","0%p","+1주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000064"
"삼진엘앤디","054090","KOSDAQ","이명종","대표이사 사장 · 사실상지배주주 · 등기임원","9.64","9.67","▲0.03%p","+7,050주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000071"
"오텍","067170","KOSDAQ","강신욱","부사장 · 등기임원","6.31","7.54","▲1.23%p","+338,358주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000075"
"대동금속","020400","KOSDAQ","대동","10%이상주주","52.78","70.16","▲17.38%p","+3,000,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000085"
"밸로프","331520","KOSDAQ","신재명","대표이사 · 10%이상주주 · 등기임원","25.73","25.77","▲0.04%p","+4,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000082"
"KBG","318000","KOSDAQ","부삼열","대표이사 · 등기임원","3.93","3.97","▲0.04%p","+3,500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000088"
"CJ대한통운","000120","KOSPI","윤동욱","경영리더 · 비등기임원","0","0","0%p","+1,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000099"
"지아이텍","382480","KOSDAQ","정준","이사 · 비등기임원","0","0.01","▲0.01%p","+3,192주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000106"
"동국알앤에스","075970","KOSDAQ","김종원","상무 · 비등기임원","0","0.02","▲0.02%p","+3,535주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000105"
"노브랜드","145170","KOSDAQ","류영습","상무 · 비등기임원","0","0.02","▲0.02%p","+3,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000122"
"테라뷰","950250","KOSDAQ","Donald Dominic Arnone","대표이사 · 등기임원","0.66","1.15","▲0.49%p","+179,202주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000132"
"에스엠벡셀","010580","KOSPI","에스엠하이플러스","10%이상주주","51.05","51.12","▲0.07%p","+81,300주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000141"
"스튜디오삼익","415380","KOSDAQ","최정석","대표이사 · 10%이상주주 · 등기임원","27.06","27.12","▲0.06%p","+7,437주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000159"
"나노씨엠에스","247660","KOSDAQ","에스에이치에너지알이백","사실상지배주주","0","16.96","▲16.96%p","+887,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000164"
"SK텔레콤","017670","KOSPI","임태섭","독립이사 · 등기임원","0","0","0%p","+200주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000208"
"SK텔레콤","017670","KOSPI","이성엽","독립이사 · 등기임원","0","0","0%p","+200주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000205"
"SK텔레콤","017670","KOSPI","오혜연","독립이사 · 등기임원","0","0","0%p","+200주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000202"
"SK텔레콤","017670","KOSPI","노미경","독립이사 · 등기임원","0","0","0%p","+200주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000199"
"코난테크놀로지","402030","KOSDAQ","박정선","이사 · 비등기임원","0.02","0","▼0.02%p","-2,600주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000197"
"SK텔레콤","017670","KOSPI","김창보","독립이사 · 등기임원","0","0","0%p","+261주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000194"
"와이즈넛","096250","KOSDAQ","장주연","상무 · 비등기임원","0.15","0.15","0%p","-1,746주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000222"
"아티스트스튜디오","200350","KOSDAQ","이정재","이사 · 등기임원","5.04","0.95","▼4.09%p","-408,345주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000218"
"파트론","091700","KOSDAQ","김종구","대표이사 · 10%이상주주 · 등기임원","18.58","18.63","▲0.05%p","+23,481주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000216"
"DL","000210","KOSPI","국민연금공단","10%이상주주","0","9.36","▲9.36%p","+2,118,656주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000237"
"효성티앤씨","298020","KOSPI","국민연금공단","10%이상주주","10.54","10.17","▼0.37%p","-15,944주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000235"
"SK네트웍스","001740","KOSPI","최성환","임원 · 등기임원","0.32","0.01","▼0.31%p","-669,965주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000234"
"삼양식품","003230","KOSPI","국민연금공단","10%이상주주","11.01","11.2","▲0.19%p","+14,013주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000233"
"팬스타엔터프라이즈","054300","KOSDAQ","김현겸","대표이사 · 등기임원","19","19.32","▲0.32%p","+241,500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000255"
"NHN","181710","KOSPI","국민연금공단","10%이상주주","10.12","9.9","▼0.22%p","-71,658주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000247"
"LIG디펜스앤에어로스페이스","079550","KOSPI","국민연금공단","10%이상주주","10.31","9.98","▼0.33%p","-73,832주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000244"
"현대건설","000720","KOSPI","국민연금공단","10%이상주주","0","10.2","▲10.2%p","+11,467,231주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000239"
"다산디엠씨","208860","KOSDAQ","다산네트웍스","사실상지배주주","63.26","64.19","▲0.93%p","+317,560주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000265"
"한미사이언스","008930","KOSPI","김재교","부회장 · 등기임원","0.02","0.02","0%p","+750주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000260"
"아이씨에이치","368600","KOSDAQ","어기한","사장 · 등기임원","0.37","0","▼0.37%p","-93,301주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000277"
"파라텍","033540","KOSDAQ","김선복","전무이사 · 비등기임원","0.16","0.16","0%p","-67,754주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000298"
"파라텍","033540","KOSDAQ","박선기","대표이사 · 등기임원","0.2","0.2","0%p","-83,812주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000297"
"롯데쇼핑","023530","KOSPI","신동빈","대표이사 · 10%이상주주 · 등기임원","10.23","9.81","▼0.42%p","-118,180주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000292"
"마니커","027740","KOSPI","이지홀딩스","사실상지배주주","33.99","37.72","▲3.73%p","+1,182,726주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000315"
"아이에스티이","212710","KOSDAQ","최두현","이사 · 비등기임원","0.27","0.24","▼0.03%p","-3,065주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000311"
"성호전자","043260","KOSDAQ","서룡전자","사실상지배주주","38.19","37.38","▼0.81%p","+117,786주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000310"
"솔브레인홀딩스","036830","KOSDAQ","정문주","공동대표이사 · 등기임원","1.74","2.3","▲0.56%p","+115,794주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000322"
"한국첨단소재","062970","KOSDAQ","사토시홀딩스","10%이상주주","12.14","0","▼12.14%p","-3,466,056주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000324"
"제테마","216080","KOSDAQ","김형석","부사장 · 등기임원","0.88","0.9","▲0.02%p","+7,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000340"
"한국캐피탈","023760","KOSDAQ","군인공제회","10%이상주주","80.41","80.41","0%p","-126,891,330주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000332"
"새빗켐","107600","KOSDAQ","박민규","고문 · 10%이상주주 · 등기임원","16.22","5.23","▼10.99%p","-618,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000344"
"제테마","216080","KOSDAQ","유근직","부회장 · 비등기임원","0","0.01","▲0.01%p","+3,500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000343"
"유안타증권","003470","KOSPI","유안타씨큐리티즈아시아파이낸셜서비시스프라이빗리미티드","10%이상주주","57.46","57.49","▲0.03%p","+52,500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000342"
"지아이텍","382480","KOSDAQ","김지훈","이사 · 비등기임원","0","0","0%p","+1,284주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000351"
"평화산업","090080","KOSPI","김주영","사장 · 10%이상주주 · 등기임원","2.18","2.27","▲0.09%p","+53,677주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000360"
