"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"아티스트스튜디오","200350","KOSDAQ","이정재","이사 · 등기임원","5.04","0.95","▼4.09%p","-408,345주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000218"
"오텍","067170","KOSDAQ","강신욱","부사장 · 등기임원","6.31","7.54","▲1.23%p","+338,358주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000075"
"팬스타엔터프라이즈","054300","KOSDAQ","김현겸","대표이사 · 등기임원","19","19.32","▲0.32%p","+241,500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000255"
"테라뷰","950250","KOSDAQ","Donald Dominic Arnone","대표이사 · 등기임원","0.66","1.15","▲0.49%p","+179,202주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000132"
"롯데쇼핑","023530","KOSPI","신동빈","대표이사 · 10%이상주주 · 등기임원","10.23","9.81","▼0.42%p","-118,180주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000292"
"솔브레인홀딩스","036830","KOSDAQ","정문주","공동대표이사 · 등기임원","1.74","2.3","▲0.56%p","+115,794주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000322"
"아이씨에이치","368600","KOSDAQ","어기한","사장 · 등기임원","0.37","0","▼0.37%p","-93,301주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000277"
"파라텍","033540","KOSDAQ","박선기","대표이사 · 등기임원","0.2","0.2","0%p","-83,812주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000297"
"파라텍","033540","KOSDAQ","김선복","전무이사 · 비등기임원","0.16","0.16","0%p","-67,754주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000298"
"평화산업","090080","KOSPI","김주영","사장 · 10%이상주주 · 등기임원","2.18","2.27","▲0.09%p","+53,677주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000360"
"파트론","091700","KOSDAQ","김종구","대표이사 · 10%이상주주 · 등기임원","18.58","18.63","▲0.05%p","+23,481주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000216"
"푸른저축은행","007330","KOSDAQ","김경구","전무이사 · 비등기임원","0.31","0.21","▼0.1%p","-16,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000007"
"스튜디오삼익","415380","KOSDAQ","최정석","대표이사 · 10%이상주주 · 등기임원","27.06","27.12","▲0.06%p","+7,437주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000159"
"삼진엘앤디","054090","KOSDAQ","이명종","대표이사 사장 · 사실상지배주주 · 등기임원","9.64","9.67","▲0.03%p","+7,050주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000071"
"제테마","216080","KOSDAQ","김형석","부사장 · 등기임원","0.88","0.9","▲0.02%p","+7,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000340"
"바이오톡스텍","086040","KOSDAQ","강종구","대표이사 · 사실상지배주주 · 등기임원","12.93","12.97","▲0.04%p","+6,380주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000053"
"현대차증권","001500","KOSPI","노근창","전문전무 · 비등기임원","0.01","0","▼0.01%p","-6,123주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000040"
"밸로프","331520","KOSDAQ","신재명","대표이사 · 10%이상주주 · 등기임원","25.73","25.77","▲0.04%p","+4,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000082"
"동국알앤에스","075970","KOSDAQ","김종원","상무 · 비등기임원","0","0.02","▲0.02%p","+3,535주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000105"
"KBG","318000","KOSDAQ","부삼열","대표이사 · 등기임원","3.93","3.97","▲0.04%p","+3,500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000088"
"제테마","216080","KOSDAQ","유근직","부회장 · 비등기임원","0","0.01","▲0.01%p","+3,500주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000343"
"지아이텍","382480","KOSDAQ","정준","이사 · 비등기임원","0","0.01","▲0.01%p","+3,192주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000106"
"아이에스티이","212710","KOSDAQ","최두현","이사 · 비등기임원","0.27","0.24","▼0.03%p","-3,065주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000311"
"노브랜드","145170","KOSDAQ","류영습","상무 · 비등기임원","0","0.02","▲0.02%p","+3,000주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000122"
"코난테크놀로지","402030","KOSDAQ","박정선","이사 · 비등기임원","0.02","0","▼0.02%p","-2,600주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000197"
"와이즈넛","096250","KOSDAQ","장주연","상무 · 비등기임원","0.15","0.15","0%p","-1,746주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000222"
"지아이텍","382480","KOSDAQ","김지훈","이사 · 비등기임원","0","0","0%p","+1,284주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000351"
"한미사이언스","008930","KOSPI","김재교","부회장 · 등기임원","0.02","0.02","0%p","+750주","임원·주요주주 소유상황 변동","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000260"
