"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"SK오션플랜트","100090","KOSPI","디오션자산운용","기관·투자자","0","35.62","▲35.62%p","+22,256,969주","장외 주식매매계약 체결","+4,100억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260904000546"
"스카이랩스","386380","KOSDAQ","한국산업은행","금융기관","0","7.51","▲7.51%p","+1,409,987주","코스닥 신규 상장에 따른 신규 보고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000156"
"넥사다이내믹스","351320","KOSDAQ","세종메디칼","주요주주","0","5.15","▲5.15%p","+1,514,867주","5% 이상 보유에 따른 공시의무 발생","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000326"
"세아홀딩스","058650","KOSPI","이태성","주요주주","74.26","77.69","▲3.43%p","0주","(주)세아홀딩스의 자기주식 소각에 따른 지분율 변동, 보고자의 주식담보대출 ","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000298"
"엑셈","205100","KOSDAQ","조종암","주요주주","37.68","39.55","▲1.87%p","+75,000주","보고자의 주식담보대출 상환 및 신규 계약 및 장내 매수 자기주식 소각으로 인","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000045"
"디젠스","113810","KOSDAQ","디에이치코리아","오너·특수관계","35.76","37.61","▲1.85%p","-9,211,934주","최대주주, 특별관계자 장내 매수 및 주식병합","+5억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000239"
"APS이노베이션","079810","KOSDAQ","APS","주요주주","23.63","25.19","▲1.56%p","+336,924주","보고자의 장내매수","+13억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000221"
"테크윙","089030","KOSDAQ","ManulifeInvestmentManagement(HongKong)Limited","외국계","5.46","6.79","▲1.33%p","+493,339주","장내에서 단순투자목적으로 발행회사의 주식 매수","+228억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000214"
"우성머티리얼스","011300","KOSPI","더블유에스","오너·특수관계","18.42","19.17","▲0.75%p","+131,502주","특별관계자 주식수 변동","+3억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000285"
"서울평가정보","036120","KOSDAQ","진원홀딩스컴퍼니","오너·특수관계","57.4","57.98","▲0.58%p","-818주","장내 매도, 특별관계 추가/해소","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000309"
"한솔테크닉스","004710","KOSPI","미래에셋자산운용","기관·투자자","4.75","5.11","▲0.36%p","+191,293주","신규","+14억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000191"
"하이젠알앤엠","160190","KOSDAQ","미래에셋자산운용","기관·투자자","4.87","5.13","▲0.26%p","+81,102주","신규","+16억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000192"
"감성코퍼레이션","036620","KOSDAQ","김호선","오너·특수관계","30.46","30.7","▲0.24%p","+209,000주","보고자 장내매수 - 보고자, 특수관계자 주식담보대출 대출기간 연장 - 보고자","+8억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000119"
"티비에이치글로벌","084870","KOSPI","우종완","오너·특수관계","51.22","51.44","▲0.22%p","+43,540주","특별관계자의 보유 주식수 변동 - 특별관계 해소","+2억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000043"
"큐로홀딩스","051780","KOSDAQ","케이파트너스","오너·특수관계","61.72","61.8","▲0.08%p","+6,324주","특수관계인의 주식 매입 및 주식근질권설정변경계약 체결","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000190"
"알체라","347860","KOSDAQ","황영규","오너·특수관계","18.63","18.69","▲0.06%p","+25,990주","특별관계자의 장내매수","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000117"
"바이오톡스텍","086040","KOSDAQ","강종구","주요주주","24.24","24.29","▲0.05%p","+8,195주","장내매수에 따른 보유주식 변동","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000149"
"에스엠벡셀","010580","KOSPI","에스엠하이플러스","주요주주","88.97","89.01","▲0.04%p","+45,500주","보고자 본인 에스엠하이플러스(주)의 장내매수","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000145"
"메가스터디교육","215200","KOSDAQ","손주은","주요주주","40.92","40.95","▲0.03%p","+3,000주","보유주식등에 관한 계약변경, 주식매수선택권 부여","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000264"
"케이카","381970","KOSPI","KG스틸","오너·특수관계","52.5","52.52","▲0.02%p","+10,000주","주식매매계약의 거래종결에 따른 주식의 보유형태 변경(보유에서 소유로의 변경)","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000231"
"동국홀딩스","001230","KOSPI","장세주","오너·특수관계","64.37","64.38","▲0.01%p","+5,000주","주식취득(장내매수)으로 인한 특별관계자 변동","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000125"
"동국홀딩스","001230","KOSPI","장세주","오너·특수관계","64.37","64.38","▲0.01%p","+5,000주","주식취득(장내매수)으로 인한 특별관계자 변동","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260907000171"
