"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"한화머시너리앤서비스홀딩스","0220W0","KOSPI","김승연","주요주주","0","60.32","▲60.32%p","+50,981,693주","분할재상장에 따른 신규보고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001708"
"해치텍","0155E0","KOSDAQ","최성민","주요주주","0","44.9","▲44.9%p","+2,464,000주","코스닥시장 상장에 따른 신규보고","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828000604"
"니어스랩","417030","KOSDAQ","최재혁","주요주주","0","29.71","▲29.71%p","+1,885,224주","코스닥 신규 상장","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001919"
"니어스랩","417030","KOSDAQ","영문명 오타 수정","주요주주","0","29.71","▲29.71%p","+1,885,224주","코스닥 신규 상장","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001894"
"니어스랩","417030","KOSDAQ","최재혁","주요주주","0","29.71","▲29.71%p","+1,885,224주","코스닥 신규 상장","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001557"
"핑거","163730","KOSDAQ","메가존클라우드","주요주주","0","17.79","▲17.79%p","+2,762,430주","전환사채 신규 취득","+266억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828000553"
"DB","012030","KOSPI","김남호","오너·특수관계","43.82","47.05","▲3.23%p","+6,500,000주","특별관계자의 주식매매계약 체결","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001875"
"다산솔루에타","154040","KOSDAQ","다산인베스트","오너·특수관계","60.24","62.75","▲2.51%p","+542,362주","보고자 및 특별관계자의 장내 매수","+6억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001546"
"금호에이치티","214330","KOSPI","에코볼트","오너·특수관계","45.66","47.78","▲2.12%p","+221,766주","특별관계자의 장내매수에 따른 변동보고","+17억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001328"
"링크드","193250","KOSDAQ","민용재","주요주주","30.91","32.88","▲1.97%p","+365,765주","장내매수 - 발행회사의 전환사채 매수선택권 행사자 지정","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001520"
"다산디엠씨","208860","KOSDAQ","다산네트웍스","주요주주","64.13","65.96","▲1.83%p","+622,260주","보고자 본인 장내매수","+7억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001556"
"주연테크","044380","KOSPI","화평홀딩스","주요주주","39.56","40.58","▲1.02%p","+141,670주","장내매수 지분취득","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001808"
"케이바이오랩스","038530","KOSDAQ","미래아이앤지","주요주주","40.11","40.99","▲0.88%p","+229,123주","장내매수","+2억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001536"
"아이티아이즈","372800","KOSDAQ","이성남","오너·특수관계","50.23","51.11","▲0.88%p","+63,454주","특별관계자의 장내매수 및 특별관계자 추가에 따른 변동보고 - 의결권 공동행사","+2억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828000564"
"아이에스동서","010780","KOSPI","권혁운","주요주주","55.89","56.76","▲0.87%p","0주","보유주식등에 관한 계약 변경","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001678"
"한국화장품제조","003350","KOSPI","에셋플러스자산운용","기관·투자자","4.53","5.16","▲0.63%p","+1,169,709주","5% 이상 지분 보유 신규보고","+20억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828000539"
"코아시아","045970","KOSDAQ","이희준","주요주주","19.58","20.13","▲0.55%p","+144,047주","주식담보계약 연장 및 장내매수","+4억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001814"
"동원수산","030720","KOSPI","왕기철","오너·특수관계","21.76","22.27","▲0.51%p","+23,750주","특별관계자의 보유주식 변동","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001695"
"에스와이","109610","KOSDAQ","홍영돈","오너·특수관계","34.72","35.05","▲0.33%p","+157,758주","특수관계인 주식변동 및 주식담보대출 내용 변경","+4억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001627"
"패션플랫폼","225590","KOSDAQ","메이븐에프씨","오너·특수관계","39.36","39.66","▲0.3%p","-8,453,782주","주식병합(1:5)에 따른 보유주식수 및 발행주식총수 변동, 특별관계자 장내매","-255억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001595"
"휴마시스","205470","KOSDAQ","아티스트","오너·특수관계","20.51","20.77","▲0.26%p","+63,789주","특별관계자 장내매수","+2억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001493"
"에스엠씨지","460870","KOSDAQ","최승호","주요주주","46.51","46.71","▲0.2%p","+40,643주","장내매수","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001902"
"에스엠씨지","460870","KOSDAQ","최승호","주요주주","46.38","46.51","▲0.13%p","+26,041주","장내매수 및 주식담보계약 연장","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001898"
"메디톡스","086900","KOSDAQ","정현호","오너·특수관계","18.65","18.74","▲0.09%p","+6,619주","보고자 및 특별관계자 장내 주식 취득 - 보고자 주식담보대출 계약변경","+5억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828000412"
"HLB바이오스텝","278650","KOSDAQ","HLB","주요주주","19.83","19.91","▲0.08%p","+15,194주","장내매수","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828000904"
"에스엠씨지","460870","KOSDAQ","최승호","주요주주","46.71","46.76","▲0.05%p","+10,353주","장내매수","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001908"
"솔루엠","248070","KOSPI","전성호","오너·특수관계","32.98","33.02","▲0.04%p","+20,000주","최대주주 보유주식수 변동","+3억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001517"
"신진에스엠","138070","KOSDAQ","김은식","오너·특수관계","50.95","50.96","▲0.01%p","+300주","특별관계자 장내매수","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828001932"
"오비고","352910","KOSDAQ","장영준","주요주주","34.27","34.28","▲0.01%p","+1,400주","장내 주식 매수 및 보유주식등에 관한 계약 내용 변경","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260828000569"
