"종목명","종목코드","시장","주주/제출인","제출인성격","직전보유비율","이번보유비율","지분율증감","지분변동주식수","보고사유","지분변동금액","원문URL"
"까뮤이앤씨","013700","KOSPI","베이스","오너·특수관계","56.04","56.55","▲0.51%p","+304,500주","특별관계자 보유주식수 변동, 담보주식 계약 변경","+5억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000253"
"팬스타엔터프라이즈","054300","KOSDAQ","김현겸","오너·특수관계","47.49","47.82","▲0.33%p","+330,500주","최대주주 주식취득 - 계열회사 장기근속포상","+4억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000250"
"휴럼","353190","KOSDAQ","김진석","오너·특수관계","38.01","38.16","▲0.15%p","+12,000주","특별관계자 추가","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000154"
"화승코퍼레이션","013520","KOSPI","현지호","오너·특수관계","50.94","51.08","▲0.14%p","+66,833주","특수관계자의 장내매수 및 주식담보대출 신규 체결","+2억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000303"
"평화산업","090080","KOSPI","평화홀딩스","주요주주","63.75","63.84","▲0.09%p","+53,677주","장내매수","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000359"
"에스엠벡셀","010580","KOSPI","에스엠하이플러스","주요주주","88.9","88.97","▲0.07%p","+81,300주","보고자 본인 에스엠하이플러스(주)의 장내매수","+1억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000144"
"프레스티지바이오파마","950210","KOSPI","메이슨파트너스","오너·특수관계","52.46","52.5","▲0.04%p","+4,800주","특별관계자 지분 변동","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000023"
"바이오톡스텍","086040","KOSDAQ","강종구","주요주주","24.2","24.24","▲0.04%p","+6,380주","장내매수에 따른 보유주식 변동","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000048"
"피엔티","137400","KOSDAQ","김준섭","오너·특수관계","14.68","14.7","▲0.02%p","+5,000주","최대주주 장내 매수","+0억 원","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000084"
"DL","000210","KOSPI","베어링자산운용","기관·투자자","4.99","5.01","▲0.02%p","+1,050,088주","5% 이상 보유에 따른 보고의무 발생","-","https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260901000334"
